 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECOUPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Rank,6,,1,,5,,5,,5,,6,,7,,6,,8,,5,,5,,6,,6,,6,,,
QB,J. HERBERT,38.82,J. HERBERT,25.88,J. HERBERT,18.8,J. HERBERT,14.02,J. HERBERT,19.24,J. DANIELS,30.24,J. DANIELS,20.94,J. HERBERT,33.38,J. HERBERT,33.6,J. HERBERT,18.6,J. HERBERT,3.24,J. LOVE,8.76,J. LOVE,35.46,J. LOVE,26.36,,
RB,J. GIBBS,15.9,J. GIBBS,20.6,J. GIBBS,29.1,J. GIBBS,19.2,J. GIBBS,17.9,J. JACOBS,33.8,J. JACOBS,20.1,J. JACOBS,14.8,K. WILLIAMS,20.9,J. JACOBS,21.8,J. JACOBS,4.7,K. WILLIAMS,7.4,K. WILLIAMS,14.5,K. WILLIAMS,19,,
RB,J. JACOBS,15.9,J. JACOBS,16.7,J. JACOBS,14,J. JACOBS,33.9,K. WILLIAMS,32.5,K. WILLIAMS,18,K. WILLIAMS,9.7,C. BROWN,26.7,C. BROWN,20.3,K. WILLIAMS,23.8,K. WILLIAMS,17.8,D. MONTGOMERY,7.2,D. MONTGOMERY,13.4,D. MONTGOMERY,14.9,,
RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WR,D. ADAMS,9.1,D. ADAMS,23.6,D. ADAMS,14.6,D. ADAMS,15.6,D. ADAMS,13.8,D. ADAMS,7.9,D. ADAMS,26.5,M. PITTMAN JR.,23.5,D. ADAMS,23,D. ADAMS,19.7,D. ADAMS,7.1,D. ADAMS,23.2,D. ADAMS,21.8,D. ADAMS,6.9,,
WR,M. HARRISON JR,18.1,M. HARRISON JR,4.7,M. HARRISON JR,7.4,M. HARRISON JR,18.6,M. HARRISON JR,13.8,M. HARRISON JR.,5.2,M. HARRISON JR.,7.8,T. MCLAURIN,14.4,M. HARRISON,22.6,M. HARRISON,14.3,G. DORTCH,25.1,M. PITTMAN,13.7,M. PITTMAN,2.3,M. PITTMAN,16.9,,
WR,G. WILSON,22.5,G. WILSON,9,G. WILSON,24.4,G. WILSON,20.2,G. WILSON,19.1,M. PITTMAN JR,4,M. PITTMAN JR.,20.8,J. NOEL,11.85,M. PITTMAN,21.5,M. PITTMAN,3.9,C. AUSTIN,2.25,G. DORTCH,23.35,G. DORTCH,5.2,C. AUSTIN,4.7,,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,D. NJOKU,6.7,D. NJOKU,8,J. JOHNSON,11.1,J.JOHNSON,5.8,J. JOHNSON,3.7,D. NJOKU,5.8,J. JOHNSON,12.9,D. NJOKU,13.7,J. JOHNSON,12.1,D. NJOKU,10.1,D. NJOKU,1.7,J. JOHNSON,10.6,J. JOHNSON,8.9,J. JOHNSON,7.8,,
FLEX,K. WILLIAMS,15.7,K. WILLIAMS,11.7,D. MONTGOMERY,31.6,D. MONTGOMERY,2.1,D. MONTGOMERY,22.22,G. WILSON,4.3,D. MONTGOMERY,7.2,J. JOHNSON,10.3,D. MONTGOMERY,12.1,D. MONTGOMERY,11.6,D. MONTGOMERY,5.3,C. BROWN,17.9,C. BROWN,19.8,J. JACOBS,19.2,,
D/ST,MIN D/DT,19.09,MIN D/ST,15.23,MIN D/ST,54.64,MIN D/ST,15.24,MIN D/ST,11.3,TEN D/ST,12.3,CAR D/ST,29.05,NYJ D/ST,5.54,LV D/ST,11.6,BAL D/ST,19.07,BAL D/ST,24.83,BAL D/ST,21.3,BAL D/ST,8.1,BAL D/ST,5.97,,
K,C. DICKER,9,C. DICKER,8,C. SANTOS,7,C. DICKER,5,C. DICKER,7,C. DICKER,17,C. DICKER,7,C. SANTOS,10,C. SANTOS,9.5,C. DICKER,14,C. DICKER,8,C. SANTOS,8,C. DICKER,10,C. DICKER,21,,
HC,CIN HC,7.1,CIN HC,11.3,IND HC,20.3,CHI HC,9.5,ARI HC,4.3,PIT HC,10.9,PIT HC,7.3,HOU HC,11.8,BAL HC,16.4,BAL HC,11.1,PIT HC,18.2,BAL HC,10.9,BAL HC,-1.8,BAL HC,3.6,,
Total Score,177.91,,154.71,,232.94,,159.16,,164.86,,149.44,,169.29,,175.97,,203.6,,167.97,,118.22,,152.31,,137.66,,146.33,,0,
MVP,J. HERBERT,38.82,J. HERBERT,25.88,MIN D/ST,54.64,J. JACOBS,33.9,K. WILLIAMS,32.5,J. JACOBS,33.8,CAR D/ST,29.05,J. HERBERT,33.38,J. HERBERT,33.6,K. WILLIAMS,23.8,G. DORTCH,25.1,G. DORTCH,23.35,J. LOVE,35.46,J. LOVE,26.36,#NUM!,#NUM!
#2,G. WILSON,22.50,D. ADAMS,23.60,D. MONTGOMERY,31.60,G. WILSON,20.20,D. MONTGOMERY,22.22,J. DANIELS,30.24,D. ADAMS,26.50,C. BROWN,26.70,D. ADAMS,23.00,J. JACOBS,21.80,BAL D/ST,24.83,D. ADAMS,23.20,D. ADAMS,21.80,C. DICKER,21.00,,
