"Full Name","Acronym","Division","Team Color","","List of Divisions","","Full Schedule","","Away ","Home ","","","","","Number of  Teams","","YEAR","","","","","","","","","","","","","","","","","","","","","","P1","P2","P3","P4","P5","E1","E2","E3","E4","E5","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 11","GAME 1","EAGLES","KINGS","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","WEEK 11","E2","P1","EAGLES","KINGS","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 11","GAME 2","METAMOOKDAWGS","POPEYES","","","","","","","","","","","","","","","","","P2","P1","P5","P3","E3","P4","E1","E2","E4","E5","","","","","","","","","","","","","","","E4","P2","METAMOOKDAWGS","POPEYES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 11","GAME 3","MUTTS","DECOUPES","","","","","","","","","","","","","","","","","WEEK 14","","","","","","","","","","","","","","","","","","","","","","","","E3","P3","MUTTS","DECOUPES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 11","GAME 4","CHAMPS","GREEN","","","","","","","","","","","","","","","","","GAME 1","","GAME 2","","GAME 3","","GAME 4","","GAME 5","","","","","","","","","","","","","","","","E5","P4","CHAMPS","GREEN","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 11","GAME 5","YARDIES","SAVAGES","","","","","","","","","","","","","","","","","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","AWAY","HOME","","","","","","","","","","","","","","","E1","P5","YARDIES","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 12","GAME 1","KINGS","SAVAGES","","","","","","","","","","","","","","","","","P4","P1","P2","P3","E5","P5","E1","E3","E4","E2","","","","","","","","","","","","","","WEEK 12","P1","P5","KINGS","SAVAGES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 12","GAME 2","GREEN","POPEYES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P4","P2","GREEN","POPEYES","","","","","","","","","","","","","","","","",""
"Chat GPT response","","","","","","","WEEK 12","GAME 3","DECOUPES","METAMOOKDAWGS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P3","E4","DECOUPES","METAMOOKDAWGS","","","","","","","","","","","","","","","","",""
"Have 8 Teams and two Divisions. POPEYES , Prodigies Division, SEED 1 CHAMPS, Esteemed Division, SEED 2 DECOUPES, Prodigies Division, SEED 3 YARDIES, Esteemed Division, SEED 4 MUTTS, Esteemed Division, SEED 5 GREEN, Prodigies Division, SEED 6 METAMOOKDAWGS, Esteemed Division, SEED 7 SAVAGES, Prodigies Division, SEED 8 I need a regular season schedule where higher seed teams schedule start off easier but get harder near the end and lower seed teams schedule start hard but get easier. (the restriction can be very light) Main requirements: *Divisional Games are matches where two teams in the same division play against each( for example: Prodigies vs Prodigies or Esteemed vs Esteemed) *Cross-Divisional Games are matches where two play each in not the same division ( for example: Prodiges vs Esteemed or Esteemed vs Prodigies.) * WEEK 1, WEEK 2 and WEEK 14 must remain the same as given * Each team must play one game per week * Two teams can not play each other back to back weeks. (preferably not within a 2 week timeframe as much as possibly) * Two Cross divisional games must absolutely not be played next to each other back to back weeks unless the week contains two Cross Divisional Matches and 2 Divisional Matches. (preferably not within a 2 week timeframe as much as possibly) * Each team must play each intra division team 3 times within the schedule (9 Divisional game in total) * Excluding WEEK 1, each team must play cross divisional teams once (making 5 Cross Divisional Games in total) * Keep number of Away and Home game near 7 each as close a possible giving higher seeds more home game only if need be. * Please list this in a table making a column for Away Seed, Away Team, Home Team, Home Seed, Match Type (if it is the 1st, 2nd, or 3rd time or Cross Divisional a team has played each other, label accordingly) * Put each week in its own table * Tell me which teams are in each Division in a Table * Make sure to check Divisions when labeling match type WEEK 1: CHAMPS @ POPEYES YARDIES @ DECOUPES GREEN @ MUTTS SAVAGES @ METAMOOKDAWGS WEEK 2: POPEYES @ DECOUPES GREEN @ SAVAGES YARDIES @ CHAMPS MUTTS @ METAMOOKDAWGS WEEK 14: DECOUPES @ POPEYES SAVAGES @ GREEN YARDIES @ CHAMPS METAMOOKDAWGS @ MUTTS","","","","","","","WEEK 12","GAME 4","CHAMPS","YARDIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E5","E1","CHAMPS","YARDIES","","","","","","","","","","","","","","","","",""
"","","","","","","","WEEK 12","GAME 5","EAGLES","MUTTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","E2","E3","EAGLES","MUTTS","","","","","","","","","","","","","","","","",""
